PanelRuleId,PanelId,PanelRuleName,PanelRuleCode,MinSeverity,MaxSeverity,StandardSummary
1,1,Normal Glycemic Profile,DIA_NORMAL,0,1,"""Your blood sugar values fall within the normal range. This indicates healthy glucose processing and stable metabolic control. Maintaining a balanced diet, good sleep, hydration, and physical activity will help you stay in this optimal zone.,"""
2,1,Borderline Glycemic Pattern,DIA_BORDERLINE,2,2,"""Your glucose values are slightly above the normal range but do not yet indicate pre-diabetes. This stage is often linked with lifestyle factors like reduced activity or high sugar intake. Monitoring and preventive lifestyle adjustments are recommended to avoid progression.,"""
3,1,Early Pre-Diabetes,DIA_PRE_EARLY,3,3,"""Early signs of impaired glucose tolerance are present. This is the first stage where the body begins developing insulin resistance. With timely lifestyle changes such as dietary improvements and regular physical activity, this condition is fully reversible.,"""
4,1,Pre-Diabetes (Established),DIA_PREDIABETES,4,4,"""You fall within the established pre-diabetic category. Blood sugar levels are higher than normal, indicating reduced insulin sensitivity. Without intervention, this stage may progress to diabetes. A structured lifestyle plan and periodic monitoring are strongly advised.,"""
5,1,Diabetes  Threshold Stage,DIA_DM_THRESHOLD,5,5,"""Your test results meet the threshold criteria for diabetes. This means your blood sugar levels are consistently high enough to indicate diabetic changes. A confirmation with a physician and early treatment planning are recommended.,"""
6,1,Diabetes  Mild to Moderate,DIA_DM_MODERATE,6,6,"""Your glucose levels indicate mild to moderate diabetes. This suggests ongoing difficulty in maintaining stable blood sugar control. Treatment planning, lifestyle changes, and regular follow-ups are essential to prevent complications.,"""
7,1,Diabetes  Poor Control,DIA_DM_POOR,7,7,"""Your results show poor diabetic control. The body’s insulin regulation is significantly impaired at this stage. Medication adjustments, consistent monitoring, and close medical supervision are needed to avoid long-term complications.,"""
8,1,Diabetes  Very Poor Control,DIA_DM_VERY_POOR,8,8,"""Your blood sugar levels are severely elevated, indicating very poor diabetic control. At this stage, the body struggles to manage glucose effectively, greatly increasing the risk of nerve damage, kidney issues, vision problems, and heart disease. Immediate medical review and strict management are strongly recommended.,"""
9,1,Diabetes  Critical Hyperglycemia,DIA_DM_CRITICAL,9,9,"""Glucose levels are dangerously high and indicate a potentially critical condition. This stage carries a high risk of diabetic ketoacidosis or hyperosmolar hyperglycemic state. Urgent medical attention is required to prevent life-threatening complications."""
10,2,Normal Thyroid Profile,THY_NORMAL,0,0,"""Your thyroid hormone levels fall within the normal range, indicating healthy thyroid gland function and balanced metabolic regulation. This supports stable energy levels, weight balance, and overall hormonal health. Maintaining a nutritious diet, stress control, and regular checkups will help sustain this optimal state."""
11,2,Borderline Thyroid Variation,THY_BORDERLINE,1,1,"""Your thyroid values show very mild deviation from the optimal range but do not indicate a clear thyroid disorder. Such borderline changes may occur due to temporary stress, dietary factors, or early hormonal shifts. Periodic monitoring and healthy lifestyle habits are recommended."""
12,2,Early Thyroid Imbalance,THY_EARLY_IMBALANCE,2,2,"""Early signs of thyroid imbalance are present. Hormone regulation may be beginning to shift, although strong symptoms are often absent at this stage. With timely lifestyle optimization and monitoring, progression can often be prevented or reversed."""
13,2,Subclinical Thyroid Disorder,THY_SUBCLINICAL,3,3,"""Your results suggest a subclinical thyroid disorder, where hormone levels are mildly abnormal without overt clinical symptoms. Although daily functioning may seem unaffected, untreated subclinical imbalance can progress over time. Medical guidance and follow-up testing are advised."""
14,2,Established Thyroid Dysfunction,THY_ESTABLISHED,4,4,"""Thyroid hormone imbalance is now clearly established. This may begin to impact metabolism, energy levels, mood, or weight regulation. Clinical evaluation is recommended to determine the need for treatment or close observation."""
15,2,Thyroid Disorder  Threshold,THY_THRESHOLD,5,5,"""Your thyroid results meet the threshold for thyroid dysfunction. Hormonal imbalance at this level can affect multiple body systems, including heart rate, metabolism, and mental well-being. Medical consultation and treatment planning are strongly recommended."""
16,2,Mild Thyroid Disorder,THY_MILD,6,6,"""Mild thyroid disease is present, and symptoms such as fatigue, weight changes, temperature sensitivity, or mood disturbances may become noticeable. Active treatment and regular follow-up are important to restore hormonal balance."""
17,2,Poorly Controlled Thyroid Disorder,THY_POOR_CONTROL,7,7,"""Your thyroid disorder is poorly controlled, indicating significant hormonal dysregulation. At this stage, metabolic stress increases and symptoms may worsen. Close medical supervision and treatment adjustment are required to prevent complications."""
18,2,Very Poor Thyroid Control,THY_VERY_POOR,8,8,"""Severe thyroid imbalance is present, placing substantial strain on cardiovascular, metabolic, and neurological systems. This stage carries a high risk of serious complications. Immediate medical intervention and strict management are necessary."""
19,2,Critical Thyroid Dysfunction,THY_CRITICAL,9,9,"""Thyroid dysfunction has reached a critical level and may be life-threatening if left untreated. Severe hormonal disruption can lead to cardiac instability, metabolic collapse, or thyroid crisis. Urgent medical care is required."""
20,3,Normal Blood Profile,CBC_NORMAL,0,0,"""Your complete blood count values are within the normal range, indicating healthy red blood cells, white blood cells, and platelets. This reflects good oxygen transport, immune defense, and clotting function. Maintaining proper nutrition and hydration supports continued blood health."""
21,3,Borderline Blood Variation,CBC_BORDERLINE,1,1,"""Very mild variations are observed in your blood parameters, but they are not clinically significant. These changes are often temporary and may relate to minor stress, hydration status, or recent illness. Routine monitoring is sufficient."""
22,3,Early Blood Imbalance,CBC_EARLY_IMBALANCE,2,2,"""Early changes in blood values are present. This may suggest the beginning of nutritional deficiency, mild inflammation, or physiological stress. With timely dietary improvements and observation, these changes are often reversible."""
23,3,Subclinical Blood Abnormality,CBC_SUBCLINICAL,3,3,"""Subclinical blood abnormalities are detected. Although symptoms may be minimal, underlying issues such as early anemia or immune imbalance may be developing. Follow-up testing and clinical correlation are recommended."""
24,3,Established Blood Abnormality,CBC_ESTABLISHED,4,4,"""Clear abnormalities are present in your blood profile, indicating impaired oxygen delivery, immune response, or clotting balance. This stage often reflects anemia, infection, or inflammatory conditions and requires medical evaluation."""
25,3,Moderate Blood Disorder,CBC_MODERATE,5,5,"""Moderate blood abnormalities are observed. These changes may affect physical stamina, immunity, or healing ability. Identifying the underlying cause and initiating appropriate treatment is important to prevent progression."""
26,3,Significant Blood Disorder,CBC_SIGNIFICANT,6,6,"""Significant disruption in blood parameters is present, suggesting advanced anemia, infection, or marrow stress. Symptoms such as fatigue, frequent infections, or bleeding tendency may occur. Medical intervention is required."""
27,3,Poor Blood Profile,CBC_POOR,7,7,"""Your blood profile indicates poor hematological control, with marked abnormalities across one or more components. This level carries increased risk of complications and requires close medical supervision and targeted treatment."""
28,3,Very Poor Blood Profile,CBC_VERY_POOR,8,8,"""Severe blood abnormalities are present, significantly impairing oxygen transport, immune defense, or clotting mechanisms. This stage poses a high risk of serious complications and demands urgent medical attention."""
29,3,Critical Hematological Condition,CBC_CRITICAL,9,9,"""Your CBC results indicate a critical hematological condition. Blood parameters are dangerously abnormal and may be life-threatening. Immediate medical intervention is essential to stabilize the condition and prevent severe outcomes."""
